lift_from_model	lift_from_version	lift_from_node	lift_from_property	lift_from_concept	lift_from_conceptCode	lift_to_model	lift_to_version	lift_to_node	lift_to_property	lift_to_concept	lift_to_conceptCode	concept_relationship
CCDI	v2.0.0	clinical_measure_file	file_type	NIFTI Format	C190183	CDS	v5.0.2	file	file_type	NIFTI Format	C190183	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	MATLAB Script	C190179	CDS	v5.0.2	file	file_type	MATLAB Script	C190179	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	OME-TIFF	C181618	CDS	v5.0.2	file	file_type	OME-TIFF	C181618	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	PDF	C63805	CDS	v5.0.2	file	file_type	PDF	C63805	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	Plain Text Data Format	C85873	CDS	v5.0.2	file	file_type	Plain Text Data Format	C85873	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	Plain Text Data Format	C85873	CDS	v5.0.2	file	file_type	TXT	C85873	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	PNG	C85437	CDS	v5.0.2	file	file_type	PNG	C85437	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	R File Format	C190186	CDS	v5.0.2	file	file_type	R File Format	C190186	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	R Markdown	C190187	CDS	v5.0.2	file	file_type	R Markdown	C190187	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	SDRF	C172211	CDS	v5.0.2	file	file_type	SDRF	C172211	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	Sequence Record Format	C190188	CDS	v5.0.2	file	file_type	Sequence Record Format	C190188	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	SVG	C85435	CDS	v5.0.2	file	file_type	SVG	C85435	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	Python Script Format	C190184	CDS	v5.0.2	file	file_type	Python Script Format	C190184	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	SVS	C172214	CDS	v5.0.2	file	file_type	SVS	C172214	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	TAR	C190189	CDS	v5.0.2	file	file_type	TAR	C190189	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	Thermo RAW	C190190	CDS	v5.0.2	file	file_type	Thermo RAW	C190190	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	TSV	C164049	CDS	v5.0.2	file	file_type	TSV	C164049	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	TXT	C85873	CDS	v5.0.2	file	file_type	Plain Text Data Format	C85873	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	TXT	C85873	CDS	v5.0.2	file	file_type	TXT	C85873	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	VCF	C172216	CDS	v5.0.2	file	file_type	VCF	C172216	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	XLS	C190191	CDS	v5.0.2	file	file_type	XLS	C190191	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	XLSX	C164050	CDS	v5.0.2	file	file_type	XLSX	C164050	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	XML	C45967	CDS	v5.0.2	file	file_type	XML	C45967	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	TIFF	C70631	CDS	v5.0.2	file	file_type	TIFF	C70631	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	YAML	C190193	CDS	v5.0.2	file	file_type	YAML	C190193	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	ZIP	C190192	CDS	v5.0.2	file	file_type	ZIP	C190192	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	IDAT	C184762	CDS	v5.0.2	file	file_type	IDAT	C184762	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	IDF	C172212	CDS	v5.0.2	file	file_type	FASTQ	C172212	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	IDF	C172212	CDS	v5.0.2	file	file_type	IDF	C172212	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	JPEG	C48230	CDS	v5.0.2	file	file_type	JPEG	C48230	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	JPEG 2000	C184768	CDS	v5.0.2	file	file_type	JPEG 2000	C184768	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	JSON	C184769	CDS	v5.0.2	file	file_type	JSON	C184769	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	MAF	C172215	CDS	v5.0.2	file	file_type	MAF	C172215	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	CEL	C191737	CDS	v5.0.2	file	file_type	CEL	C191737	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	CRAI	C192224	CDS	v5.0.2	file	file_type	CRAI	C192224	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	MEX	C184778	CDS	v5.0.2	file	file_type	MEX	C184778	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	mzIdentML	C201788	CDS	v5.0.2	file	file_type	mzIdentML	C201788	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	mtx	C201789	CDS	v5.0.2	file	file_type	mtx	C201789	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	BEDPE Format	C184749	CDS	v5.0.2	file	file_type	BEDPE Format	C184749	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	HIC	C203672	CDS	v5.0.2	file	file_type	HIC	C203672	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	gVCF	C204352	CDS	v5.0.2	file	file_type	gVCF	C204352	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	HTSeq Count	C205749	CDS	v5.0.2	file	file_type	HTSeq Count	C205749	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	TBI	C184806	CDS	v5.0.2	file	file_type	TBI	C184806	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	RTF	C209896	CDS	v5.0.2	file	file_type	RTF	C209896	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	SEG	C209892	CDS	v5.0.2	file	file_type	SEG	C209892	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	PED	C209891	CDS	v5.0.2	file	file_type	PED	C209891	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	cdf	C209894	CDS	v5.0.2	file	file_type	cdf	C209894	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	DICT	C209890	CDS	v5.0.2	file	file_type	DICT	C209890	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	CNS	C209889	CDS	v5.0.2	file	file_type	CNS	C209889	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	rds	C209895	CDS	v5.0.2	file	file_type	rds	C209895	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	idpDB	C209893	CDS	v5.0.2	file	file_type	idpDB	C209893	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_type	DOC	C210442	CDS	v5.0.2	file	file_type	DOC	C210442	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_mapping_level	Sample	C70699	CDS	v5.0.2	file	file_mapping_level	Sample	C70699	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_mapping_level	Participant	C142710	CDS	v5.0.2	file	file_mapping_level	Participant	C142710	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	file_mapping_level	Study	C63536	CDS	v5.0.2	file	file_mapping_level	Study	C63536	Concept Code Match
CCDI	v2.0.0	clinical_measure_file	checksum_algorithm	md5sum	C171276	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	clinical_measure_file	checksum_algorithm	sha1	C80225	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	clinical_measure_file	checksum_algorithm	sha256	C80226	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	diagnosis_classification_system	ICD-O-3	C87061	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	diagnosis_classification_system	CNS Diagnosis Category	C15220	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	diagnosis_classification_system	CNS Diagnosis Category	C12438	CDS	v5.0.2	sample	sample_type_category	Central Nervous System	C12438	Concept Code Match
CCDI	v2.0.0	diagnosis	diagnosis_classification_system	CNS Diagnosis Category	C12438	CDS	v5.0.2	image	organ_or_tissue	Overlapping lesion of brain and central nervous system	C12438	Concept Code Match
CCDI	v2.0.0	diagnosis	diagnosis_classification_system	WHO CNS5	C203770	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	diagnosis_classification_system	ICD10CM	C128691	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	diagnosis_classification_system	FAB Classification System	C91220	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	diagnosis_basis	Clinical	C15607	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	diagnosis_basis	Pathology	C178004	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	diagnosis_basis	Molecular	C20826	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Initial Diagnosis	C156813	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Relapse	C38155	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Progression	C17747	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Relapse/Progression	C174991	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Refractory	C38014	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Post-Mortem	C94193	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Remission	C18246	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Tumor Surveillance	C203383	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	disease_phase	Relapse/Refractory	C203382	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	tumor_classification	Unknown	C17998	CDS	v5.0.2	participant	race	Unknown	C17998	Concept Code Match
CCDI	v2.0.0	diagnosis	tumor_classification	Not Reported	C43234	CDS	v5.0.2	participant	race	Not Reported	C43234	Concept Code Match
CCDI	v2.0.0	diagnosis	tumor_classification	Not Reported	C43234	CDS	v5.0.2	participant	ethnicity	Not reported	C43234	Concept Code Match
CCDI	v2.0.0	diagnosis	tumor_classification	Metastatic	C3261	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	tumor_classification	Primary	C8509	CDS	v5.0.2	MultiplexMicroscopy	tumor_tissue_type	Additional Primary	C8509	Concept Code Match
CCDI	v2.0.0	diagnosis	tumor_classification	Not Applicable	C48660	CDS	v5.0.2	diagnosis	disease_type	Not Applicable	C48660	Concept Code Match
CCDI	v2.0.0	diagnosis	tumor_classification	Not Applicable	C48660	CDS	v5.0.2	genomic_info	library_selection	Not applicable	C48660	Concept Code Match
CCDI	v2.0.0	diagnosis	tumor_classification	Xenograft	C12932	CDS	v5.0.2	sample	sample_type_category	Xenograft	C12932	Concept Code Match
CCDI	v2.0.0	diagnosis	tumor_classification	Synchronous Primary	C35427	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	tumor_classification	Recurrent	C4798	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	tumor_classification	Progression	C35571	CDS	v5.0.2	treatment	response	Progressive Disease	C35571	Concept Code Match
CCDI	v2.0.0	diagnosis	tumor_classification	Prior Primary	C55072	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	tumor_classification	Premalignant	C36032	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Paratracheal Lymph Node	C103426	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Preauricular Lymph Node	C103429	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Rectosigmoid Colon	C103438	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Ischiorectal Fossa	C103455	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Branchial Cleft Remnant	C104813	CDS	v5.0.2	image	organ_or_tissue	Branchial cleft	C104813	Concept Code Match
CCDI	v2.0.0	diagnosis	anatomic_site	Ureteropelvic Junction	C106203	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Antecubital Region	C111032	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Carpal Region	C111033	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Cul-de-sac	C113599	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Chest Wall	C62484	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Infraclavicular Lymph Node	C63705	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Facial Bone	C63706	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Prostatic Utricle	C63862	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Hip	C64193	CDS	v5.0.2	image	organ_or_tissue	Peripheral nerves and autonomic nervous system of lower limb and hip	C64193	Concept Code Match
CCDI	v2.0.0	diagnosis	anatomic_site	Knee Skin	C64859	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Celiac Lymph Node	C65166	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Carotid Body	C66852	CDS	v5.0.2	image	organ_or_tissue	Carotid body	C66852	Concept Code Match
CCDI	v2.0.0	diagnosis	anatomic_site	Waldeyer's Tonsillar Ring	C73468	CDS	v5.0.2	image	organ_or_tissue	Waldeyer ring	C73468	Concept Code Match
CCDI	v2.0.0	diagnosis	anatomic_site	Obturator Nerve	C75909	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Umbilicus	C77533	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Abdominal Wall	C77608	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Hepatic Lymph Node	C77640	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Mesenteric Lymph Node	C77641	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Pancreatic Lymph Node	C77642	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Paraaortic Lymph Node	C77643	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Portal Lymph Node	C77645	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Sacral Lymph Node	C77647	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Retropharyngeal Lymph Node	C77649	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Submandibular Lymph Node	C77650	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Tracheobronchial Lymph Node	C77651	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Intercostal Lymph Node	C77652	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Mentum	C81169	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Skullcap	C81188	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Obturator Lymph Node	C88141	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Internal Iliac Lymph Node	C88142	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Scalene Lymph Node	C89780	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Forehead	C89803	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Buttock	C89806	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Scalp	C89807	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Triceps Brachii	C90604	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Optic Chiasm	C90609	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Spinal Cord Dura Mater	C49799	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Labium	C52559	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Gluteus Maximus	C52560	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Leg Skin	C52749	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Foot Skin	C52750	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Ankle Skin	C52751	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Wrist Skin	C52752	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Hand Skin	C52753	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Arm Skin	C52754	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Elbow Skin	C52755	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Neck Skin	C52756	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Head Skin	C52757	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Abdominal Skin	C52758	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Hand Phalanx	C52771	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Foot Phalanx	C52772	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Lumbosacral Plexus	C52805	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Ulnar Nerve	C52807	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Sciatic Nerve	C52810	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Radial Nerve	C52812	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Median Nerve	C52815	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Femoral Nerve	C52816	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Hand Digit 1	C52834	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Celiac Artery	C52846	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Internal Mammary Artery	C52941	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Mesenteric Artery	C52975	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Popliteal Lymph Node	C53146	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Biceps Femoris	C53147	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Brachialis	C53149	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Coracobrachialis	C53151	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Cerebellopontine Angle	C54057	CDS	v5.0.2	N/A	N/A	N/A	N/A	No match
CCDI	v2.0.0	diagnosis	anatomic_site	Floor of Mouth	C54187	CDS	v5.0.2	image	organ_or_tissue	Anterior floor of mouth	C54187	Concept Code Match
CCDI	v2.0.0	diagnosis	anatomic_site	Floor of Mouth	C54187	CDS	v5.0.2	image	organ_or_tissue	Floor of mouth, NOS	C54187	Concept Code Match
CCDI	v2.0.0	diagnosis	anatomic_site	Floor of Mouth	C54187	CDS	v5.0.2	image	organ_or_tissue	Lateral floor of mouth	C54187	Concept Code Match
CCDI	v2.0.0	diagnosis	anatomic_site	Floor of Mouth	C54187	CDS	v5.0.2	image	organ_or_tissue	Overlapping lesion of floor of mouth	C54187	Concept Code Match
CCDI	v2.0.0	diagnosis	anatomic_site	Rectosigmoid Region	C54188	CDS	v5.0.2	image	organ_or_tissue	Rectosigmoid junction	C54188	Concept Code Match
